# File hw03-data.txt
#     x                  y                  ignore             z
You'll need to skip this line, but do not delete it!
 -3.0 0.47807302063375384 0.0 3.070737201667703
 -2.945736434108527 0.5728814193785523 0.05284248137437998 3.0977716644048603
 -2.891472868217054 0.6843140357910051 0.10303222589823534 3.1247341585452797
 -2.8372093023255816 0.8084148106845985 0.1508228897345835 3.1516048373073846
 -2.7829457364341086 0.9406331950834028 0.1964334009866359 3.1783639214938413
 -2.7286821705426356 1.0760376978269892 0.24005402346252633 3.2049917140507995
 -2.6744186046511627 1.209547309983529 0.2818511521409878 3.2314686145666642
 -2.62015503875969 1.3361699458145475 0.32197114593041287 3.2577751336997367
 -2.565891472868217 1.4512367107629578 0.36054342071665263 3.283891907524093
 -2.511627906976744 1.5506210027649154 0.39768296766610944 3.309799711783145
 -2.4573643410852712 1.6309321649259862 0.4334924203628203 3.335479476040398
 -2.4031007751937983 1.6896746018525504 0.4680637644279091 3.3609122977169767
 -2.3488372093023253 1.7253648926467364 0.5014797613477532 3.386079456005598
 -2.294573643410853 1.7376014047006048 0.5338151419906894 3.4109624256507383
 -2.24031007751938 1.7270831414619758 0.5651376131197305 3.4355428905848666
 -2.186046511627907 1.6955769396862554 0.5955087109960294 3.459802757410685
 -2.1317829457364343 1.6458345555376033 0.6249845291289827 3.4837241687194735
 -2.0775193798449614 1.5814635305127394 0.65361634180331 3.507289516235723
 -2.0232558139534884 1.5067578971754902 0.6814511407967541 3.530481453778383
 -1.9689922480620154 1.42649666932263 0.7085320993994247 3.5532829100291856
 -1.9147286821705427 1.3457195730098306 0.7348989752401671 3.575677101098648
 -1.8604651162790697 1.2694905429046597 0.760588461355478 3.597647542880499
 -1.806201550387597 1.2026600825808087 0.7856344932815654 3.6191780631854407
 -1.751937984496124 1.1496376406805466 0.8100685186188475 3.64025281364531
 -1.697674418604651 1.1141846848489714 0.8339197344410275 3.6608562813788814
 -1.6434108527131783 1.0992381840411194 0.8572152970445495 3.6809733004107184
 -1.5891472868217054 1.1067727828026084 0.879980507817562 3.7005890628346743
 -1.5348837209302326 1.1377081353922835 0.9022389784185046 3.7196891297138226
 -1.4806201550387597 1.1918657483598116 0.9240127779680654 3.7382594417087907
 -1.426356589147287 1.2679773568644535 0.9453225645548164 3.756286329426678
 -1.372093023255814 1.363744441652155 0.9661877030187782 3.7737565234829398
 -1.3178294573643412 1.4759460936855426 0.9866263706960521 3.790657164268827
 -1.2635658914728682 1.600590164568689 1.0066556525716246 3.8069758114171974
