Amp, Phaseshift, Time, Vd, Vr, VL, VC
0.590915,372.027,0,0,0,0,0
0.590915,372.027,1.65289e-007,0.188372,0.00155679,0.188372,0
0.590915,372.027,3.30579e-007,0.376,0.00465136,0.374443,0.000514641
0.590915,372.027,4.95868e-007,0.562144,0.00925448,0.556978,0.00205228
0.590915,372.027,6.61157e-007,0.74607,0.0153269,0.734763,0.00511161
0.590915,372.027,8.26446e-007,0.927051,0.0228196,0.906612,0.0101784
0.590915,372.027,9.91736e-007,1.10437,0.0316739,1.07138,0.017722
0.590915,372.027,1.15702e-006,1.27734,0.0418222,1.22794,0.0281927
0.590915,372.027,1.32231e-006,1.44526,0.0531879,1.37525,0.0420183
0.590915,372.027,1.4876e-006,1.60748,0.065686,1.51227,0.059601
0.590915,372.027,1.65289e-006,1.76336,0.0792238,1.63807,0.0813154
0.590915,372.027,1.81818e-006,1.91227,0.0937009,1.75173,0.107505
0.590915,372.027,1.98347e-006,2.05364,0.10901,1.85244,0.138481
0.590915,372.027,2.14876e-006,2.18691,0.125038,1.93942,0.174517
0.590915,372.027,2.31405e-006,2.31154,0.141666,2.01198,0.215852
0.590915,372.027,2.47934e-006,2.42705,0.15877,2.06953,0.262684
0.590915,372.027,2.64463e-006,2.53298,0.176221,2.11153,0.31517
0.590915,372.027,2.80992e-006,2.62892,0.193886,2.13753,0.373425
0.590915,372.027,2.97521e-006,2.71448,0.211631,2.14717,0.437519
0.590915,372.027,3.1405e-006,2.78933,0.229319,2.14018,0.50748
0.590915,372.027,3.30579e-006,2.85317,0.24681,2.11637,0.583288
0.590915,372.027,3.47107e-006,2.90575,0.263964,2.07565,0.664878
0.590915,372.027,3.63636e-006,2.94686,0.280642,2.01802,0.752139
0.590915,372.027,3.80165e-006,2.97634,0.296704,1.94356,0.844913
0.590915,372.027,3.96694e-006,2.99408,0.312014,1.85246,0.942997
0.590915,372.027,4.13223e-006,3,0.326435,1.74499,1.04614
0.590915,372.027,4.29752e-006,2.99408,0.339836,1.6215,1.15405
0.590915,372.027,4.46281e-006,2.97634,0.352088,1.48245,1.2664
0.590915,372.027,4.6281e-006,2.94686,0.363066,1.32838,1.38279
0.590915,372.027,4.79339e-006,2.90575,0.372652,1.15989,1.50281
0.590915,372.027,4.95868e-006,2.85317,0.380732,0.977707,1.626
0.590915,372.027,5.12397e-006,2.78933,0.3872,0.782596,1.75186
0.590915,372.027,5.28926e-006,2.71448,0.391955,0.575418,1.87986
0.590915,372.027,5.45455e-006,2.62892,0.394907,0.357101,2.00944
0.590915,372.027,5.61983e-006,2.53298,0.39597,0.128642,2.13998
0.590915,372.027,5.78512e-006,2.42705,0.39507,-0.108902,2.27088
0.590915,372.027,5.95041e-006,2.31154,0.392141,-0.354412,2.40148
0.590915,372.027,6.1157e-006,2.18691,0.387126,-0.606718,2.53112
0.590915,372.027,6.28099e-006,2.05364,0.379981,-0.864602,2.65909
0.590915,372.027,6.44628e-006,1.91227,0.370669,-1.1268,2.78471
0.590915,372.027,6.61157e-006,1.76336,0.359164,-1.39202,2.90724
0.590915,372.027,6.77686e-006,1.60748,0.345454,-1.65893,3.02597
0.590915,372.027,6.94215e-006,1.44526,0.329535,-1.92617,3.14017
0.590915,372.027,7.10744e-006,1.27734,0.311417,-2.19237,3.24911
0.590915,372.027,7.27273e-006,1.10437,0.291118,-2.45615,3.35206
0.590915,372.027,7.43802e-006,0.927051,0.268671,-2.71612,3.4483
0.590915,372.027,7.60331e-006,0.74607,0.244118,-2.9709,3.53711
0.590915,372.027,7.7686e-006,0.562144,0.217514,-3.21909,3.61781
0.590915,372.027,7.93388e-006,0.376,0.188924,-3.45933,3.68972
0.590915,372.027,8.09917e-006,0.188372,0.158426,-3.69027,3.75217
0.590915,372.027,8.26446e-006,3.67382e-016,0.126107,-3.9106,3.80454
0.590915,372.027,8.42975e-006,-0.188372,0.0920656,-4.11902,3.84623
0.590915,372.027,8.59504e-006,-0.376,0.0564103,-4.3143,3.87667
0.590915,372.027,8.76033e-006,-0.562144,0.0192597,-4.49522,3.89532
0.590915,372.027,8.92562e-006,-0.74607,-0.019258,-4.66064,3.90168
0.590915,372.027,9.09091e-006,-0.927051,-0.0590058,-4.80948,3.89532
0.590915,372.027,9.2562e-006,-1.10437,-0.0998379,-4.94068,3.87581
0.590915,372.027,9.42149e-006,-1.27734,-0.141601,-5.05331,3.84281
0.590915,372.027,9.58678e-006,-1.44526,-0.184134,-5.14647,3.796
0.590915,372.027,9.75207e-006,-1.60748,-0.227269,-5.21934,3.73512
0.590915,372.027,9.91736e-006,-1.76336,-0.270832,-5.27121,3.65999
0.590915,372.027,1.00826e-005,-1.91227,-0.314646,-5.30143,3.57046
0.590915,372.027,1.02479e-005,-2.05364,-0.358526,-5.30946,3.46645
0.590915,372.027,1.04132e-005,-2.18691,-0.402285,-5.29483,3.34793
0.590915,372.027,1.05785e-005,-2.31154,-0.445732,-5.25718,3.21494
0.590915,372.027,1.07438e-005,-2.42705,-0.488677,-5.19626,3.06759
0.590915,372.027,1.09091e-005,-2.53298,-0.530924,-5.1119,2.90605
0.590915,372.027,1.10744e-005,-2.62892,-0.572279,-5.00404,2.73053
0.590915,372.027,1.12397e-005,-2.71448,-0.61255,-4.87273,2.54135
0.590915,372.027,1.1405e-005,-2.78933,-0.651543,-4.71813,2.33885
0.590915,372.027,1.15702e-005,-2.85317,-0.689067,-4.54048,2.12347
0.590915,372.027,1.17355e-005,-2.90575,-0.724936,-4.34015,1.89568
0.590915,372.027,1.19008e-005,-2.94686,-0.758966,-4.1176,1.65603
0.590915,372.027,1.20661e-005,-2.97634,-0.790978,-3.87341,1.40513
0.590915,372.027,1.22314e-005,-2.99408,-0.820798,-3.60823,1.14365
0.590915,372.027,1.23967e-005,-3,-0.84826,-3.32285,0.872312
0.590915,372.027,1.2562e-005,-2.99408,-0.873203,-3.01813,0.591896
0.590915,372.027,1.27273e-005,-2.97634,-0.895476,-2.69504,0.303234
0.590915,372.027,1.28926e-005,-2.94686,-0.914935,-2.35462,0.00720875
0.590915,372.027,1.30579e-005,-2.90575,-0.931448,-1.99802,-0.295249
0.590915,372.027,1.32231e-005,-2.85317,-0.94489,-1.62647,-0.603166
0.590915,372.027,1.33884e-005,-2.78933,-0.955148,-1.24127,-0.915526
0.590915,372.027,1.35537e-005,-2.71448,-0.962122,-0.843806,-1.23128
0.590915,372.027,1.3719e-005,-2.62892,-0.965721,-0.43552,-1.54933
0.590915,372.027,1.38843e-005,-2.53298,-0.96587,-0.0179277,-1.86858
0.590915,372.027,1.40496e-005,-2.42705,-0.962503,0.4074,-2.18788
0.590915,372.027,1.42149e-005,-2.31154,-0.95557,0.83884,-2.50606
0.590915,372.027,1.43802e-005,-2.18691,-0.945035,1.27472,-2.82195
0.590915,372.027,1.45455e-005,-2.05364,-0.930875,1.71334,-3.13436
0.590915,372.027,1.47107e-005,-1.91227,-0.913082,2.15296,-3.44209
0.590915,372.027,1.4876e-005,-1.76336,-0.891662,2.59181,-3.74393
0.590915,372.027,1.50413e-005,-1.60748,-0.866637,3.02811,-4.0387
0.590915,372.027,1.52066e-005,-1.44526,-0.838041,3.46007,-4.32519
0.590915,372.027,1.53719e-005,-1.27734,-0.805926,3.88589,-4.60223
0.590915,372.027,1.55372e-005,-1.10437,-0.770358,4.30378,-4.86865
0.590915,372.027,1.57025e-005,-0.927051,-0.731416,4.71195,-5.12331
0.590915,372.027,1.58678e-005,-0.74607,-0.689196,5.10866,-5.3651
0.590915,372.027,1.60331e-005,-0.562144,-0.643806,5.49215,-5.59294
0.590915,372.027,1.61983e-005,-0.376,-0.59537,5.86074,-5.80576
0.590915,372.027,1.63636e-005,-0.188372,-0.544025,6.21276,-6.00258
0.590915,372.027,1.65289e-005,-7.34764e-016,-0.489921,6.5466,-6.18242
0.590915,372.027,1.66942e-005,0.188372,-0.433221,6.86072,-6.34438
0.590915,372.027,1.68595e-005,0.376,-0.3741,7.1536,-6.48759
0.590915,372.027,1.70248e-005,0.562144,-0.312746,7.42384,-6.61126
0.590915,372.027,1.71901e-005,0.74607,-0.249357,7.67008,-6.71465
0.590915,372.027,1.73554e-005,0.927051,-0.184141,7.89106,-6.79708
0.590915,372.027,1.75207e-005,1.10437,-0.117318,8.0856,-6.85796
0.590915,372.027,1.7686e-005,1.27734,-0.0491149,8.25261,-6.89674
0.590915,372.027,1.78512e-005,1.44526,0.0202331,8.39111,-6.91297
0.590915,372.027,1.80165e-005,1.60748,0.0904829,8.50022,-6.90629
0.590915,372.027,1.81818e-005,1.76336,0.161385,8.57916,-6.87637
0.590915,372.027,1.83471e-005,1.91227,0.232685,8.62726,-6.82302
0.590915,372.027,1.85124e-005,2.05364,0.304123,8.64398,-6.7461
0.590915,372.027,1.86777e-005,2.18691,0.375436,8.62889,-6.64557
0.590915,372.027,1.8843e-005,2.31154,0.446359,8.58167,-6.52146
0.590915,372.027,1.90083e-005,2.42705,0.516624,8.50215,-6.3739
0.590915,372.027,1.91736e-005,2.53298,0.585965,8.39026,-6.20311
0.590915,372.027,1.93388e-005,2.62892,0.654115,8.24607,-6.00941
0.590915,372.027,1.95041e-005,2.71448,0.720807,8.06977,-5.79317
0.590915,372.027,1.96694e-005,2.78933,0.78578,7.86169,-5.55489
0.590915,372.027,1.98347e-005,2.85317,0.848774,7.62228,-5.29513
0.590915,372.027,2e-005,2.90575,0.909535,7.3521,-5.01454
0.590915,372.027,2.01653e-005,2.94686,0.967815,7.05187,-4.71387
0.590915,372.027,2.03306e-005,2.97634,1.02337,6.7224,-4.39393
0.590915,372.027,2.04959e-005,2.99408,1.07597,6.36464,-4.05562
0.590915,372.027,2.06612e-005,3,1.12539,5.97965,-3.69993
0.590915,372.027,2.08264e-005,2.99408,1.17141,5.56862,-3.3279
0.590915,372.027,2.09917e-005,2.97634,1.21383,5.13283,-2.94066
0.590915,372.027,2.1157e-005,2.94686,1.25246,4.67369,-2.53939
0.590915,372.027,2.13223e-005,2.90575,1.28711,4.19268,-2.12535
0.590915,372.027,2.14876e-005,2.85317,1.31762,3.69142,-1.69986
0.590915,372.027,2.16529e-005,2.78933,1.34383,3.17158,-1.26429
0.590915,372.027,2.18182e-005,2.71448,1.3656,2.63494,-0.820048
0.590915,372.027,2.19835e-005,2.62892,1.38282,2.08336,-0.368609
0.590915,372.027,2.21488e-005,2.53298,1.39537,1.51877,0.0885224
0.590915,372.027,2.2314e-005,2.42705,1.40317,0.943155,0.549803
0.590915,372.027,2.24793e-005,2.31154,1.40613,0.358569,1.01366
0.590915,372.027,2.26446e-005,2.18691,1.40421,-0.232885,1.4785
0.590915,372.027,2.28099e-005,2.05364,1.39735,-0.829062,1.9427
0.590915,372.027,2.29752e-005,1.91227,1.38555,-1.42778,2.40463
0.590915,372.027,2.31405e-005,1.76336,1.3688,-2.02683,2.86267
0.590915,372.027,2.33058e-005,1.60748,1.34712,-2.62399,3.31516
0.590915,372.027,2.34711e-005,1.44526,1.32053,-3.21702,3.76049
0.590915,372.027,2.36364e-005,1.27734,1.2891,-3.80369,4.19703
0.590915,372.027,2.38017e-005,1.10437,1.25288,-4.38175,4.62318
0.590915,372.027,2.39669e-005,0.927051,1.21198,-4.94901,5.03736
0.590915,372.027,2.41322e-005,0.74607,1.1665,-5.50327,5.43801
0.590915,372.027,2.42975e-005,0.562144,1.11656,-6.04237,5.82363
0.590915,372.027,2.44628e-005,0.376,1.06231,-6.5642,6.19274
0.590915,372.027,2.46281e-005,0.188372,1.00391,-7.06669,6.54392
0.590915,372.027,2.47934e-005,1.10215e-015,0.941533,-7.54783,6.87579
0.590915,372.027,2.49587e-005,-0.188372,0.87537,-8.0057,7.18704
0.590915,372.027,2.5124e-005,-0.376,0.805631,-8.43841,7.47642
0.590915,372.027,2.52893e-005,-0.562144,0.732539,-8.8442,7.74275
0.590915,372.027,2.54545e-005,-0.74607,0.656329,-9.22136,7.98491
0.590915,372.027,2.56198e-005,-0.927051,0.577252,-9.56829,8.20188
0.590915,372.027,2.57851e-005,-1.10437,0.495571,-9.8835,8.3927
0.590915,372.027,2.59504e-005,-1.27734,0.411557,-10.1656,8.55653
0.590915,372.027,2.61157e-005,-1.44526,0.325497,-10.4133,8.69258
0.590915,372.027,2.6281e-005,-1.60748,0.237682,-10.6256,8.80018
0.590915,372.027,2.64463e-005,-1.76336,0.148416,-10.8012,8.87876
0.590915,372.027,2.66116e-005,-1.91227,0.0580071,-10.9394,8.92782
0.590915,372.027,2.67769e-005,-2.05364,-0.0332282,-11.0395,8.94699
0.590915,372.027,2.69421e-005,-2.18691,-0.124969,-11.1007,8.93601
0.590915,372.027,2.71074e-005,-2.31154,-0.216891,-11.1226,8.8947
0.590915,372.027,2.72727e-005,-2.42705,-0.308667,-11.1049,8.823
0.590915,372.027,2.7438e-005,-2.53298,-0.399967,-11.0473,8.72096
0.590915,372.027,2.76033e-005,-2.62892,-0.490462,-10.9499,8.58874
0.590915,372.027,2.77686e-005,-2.71448,-0.579824,-10.8128,8.4266
0.590915,372.027,2.79339e-005,-2.78933,-0.667726,-10.6361,8.23493
0.590915,372.027,2.80992e-005,-2.85317,-0.753844,-10.4204,8.01419
0.590915,372.027,2.82645e-005,-2.90575,-0.837862,-10.1661,7.76498
0.590915,372.027,2.84298e-005,-2.94686,-0.919465,-9.87398,7.48801
0.590915,372.027,2.8595e-005,-2.97634,-0.998348,-9.54488,7.18405
0.590915,372.027,2.87603e-005,-2.99408,-1.07421,-9.17978,6.85402
0.590915,372.027,2.89256e-005,-3,-1.14677,-8.7798,6.49891
0.590915,372.027,2.90909e-005,-2.99408,-1.21575,-8.34621,6.11981
0.590915,372.027,2.92562e-005,-2.97634,-1.28088,-7.8804,5.71791
0.590915,372.027,2.94215e-005,-2.94686,-1.3419,-7.38389,5.29447
0.590915,372.027,2.95868e-005,-2.90575,-1.39858,-6.85832,4.85087
0.590915,372.027,2.97521e-005,-2.85317,-1.45069,-6.30546,4.38853
0.590915,372.027,2.99174e-005,-2.78933,-1.49803,-5.72716,3.90896
0.590915,372.027,3.00826e-005,-2.71448,-1.54038,-5.12542,3.41374
0.590915,372.027,3.02479e-005,-2.62892,-1.57759,-4.50228,2.90453
0.590915,372.027,3.04132e-005,-2.53298,-1.60949,-3.85992,2.38301
0.590915,372.027,3.05785e-005,-2.42705,-1.63595,-3.20056,1.85094
0.590915,372.027,3.07438e-005,-2.31154,-1.65683,-2.52654,1.31014
0.590915,372.027,3.09091e-005,-2.18691,-1.67203,-1.84022,0.762425
0.590915,372.027,3.10744e-005,-2.05364,-1.68149,-1.14403,0.209686
0.590915,372.027,3.12397e-005,-1.91227,-1.68513,-0.44047,-0.346178
0.590915,372.027,3.1405e-005,-1.76336,-1.68291,0.267951,-0.903245
0.590915,372.027,3.15702e-005,-1.60748,-1.67483,0.978679,-1.45958
0.590915,372.027,3.17355e-005,-1.44526,-1.66087,1.68915,-2.01324
0.590915,372.027,3.19008e-005,-1.27734,-1.64106,2.39677,-2.56229
0.590915,372.027,3.20661e-005,-1.10437,-1.61545,3.09897,-3.10479
0.590915,372.027,3.22314e-005,-0.927051,-1.5841,3.79318,-3.63882
0.590915,372.027,3.23967e-005,-0.74607,-1.5471,4.47685,-4.16249
0.590915,372.027,3.2562e-005,-0.562144,-1.50456,5.14744,-4.67393
0.590915,372.027,3.27273e-005,-0.376,-1.4566,5.80249,-5.1713
0.590915,372.027,3.28926e-005,-0.188372,-1.40339,6.43953,-5.65282
0.590915,372.027,3.30579e-005,-1.46953e-015,-1.34507,7.05621,-6.11675
0.590915,372.027,3.32231e-005,0.188372,-1.28184,7.65019,-6.5614
0.590915,372.027,3.33884e-005,0.376,-1.21392,8.21925,-6.98515
0.590915,372.027,3.35537e-005,0.562144,-1.14151,8.76121,-7.38645
0.590915,372.027,3.3719e-005,0.74607,-1.06487,9.27403,-7.76381
0.590915,372.027,3.38843e-005,0.927051,-0.984239,9.75572,-8.11583
0.590915,372.027,3.40496e-005,1.10437,-0.899905,10.2044,-8.4412
0.590915,372.027,3.42149e-005,1.27734,-0.81215,10.6184,-8.73869
0.590915,372.027,3.43802e-005,1.44526,-0.721273,10.9961,-9.00717
0.590915,372.027,3.45455e-005,1.60748,-0.627587,11.3359,-9.2456
0.590915,372.027,3.47107e-005,1.76336,-0.531418,11.6365,-9.45307
0.590915,372.027,3.4876e-005,1.91227,-0.433097,11.8968,-9.62874
0.590915,372.027,3.50413e-005,2.05364,-0.332969,12.1155,-9.77192
0.590915,372.027,3.52066e-005,2.18691,-0.231384,12.2918,-9.88199
0.590915,372.027,3.53719e-005,2.31154,-0.128699,12.4249,-9.95848
0.590915,372.027,3.55372e-005,2.42705,-0.0252756,12.5142,-10.001
0.590915,372.027,3.57025e-005,2.53298,0.0785201,12.5593,-10.0094
0.590915,372.027,3.58678e-005,2.62892,0.18232,12.5598,-9.98342
0.590915,372.027,3.60331e-005,2.71448,0.285755,12.5156,-9.92315
0.590915,372.027,3.61983e-005,2.78933,0.388455,12.4267,-9.82869
0.590915,372.027,3.63636e-005,2.85317,0.490053,12.2934,-9.70027
0.590915,372.027,3.65289e-005,2.90575,0.590185,12.116,-9.53827
0.590915,372.027,3.66942e-005,2.94686,0.688491,11.8949,-9.34317
0.590915,372.027,3.68595e-005,2.97634,0.784615,11.631,-9.11557
0.590915,372.027,3.70248e-005,2.99408,0.87821,11.325,-8.85619
0.590915,372.027,3.71901e-005,3,0.968937,10.978,-8.56588
0.590915,372.027,3.73554e-005,2.99408,1.05647,10.591,-8.24557
0.590915,372.027,3.75207e-005,2.97634,1.14048,10.1654,-7.89632
0.590915,372.027,3.7686e-005,2.94686,1.22067,9.7027,-7.5193
0.590915,372.027,3.78512e-005,2.90575,1.29674,9.20439,-7.11578
0.590915,372.027,3.80165e-005,2.85317,1.36841,8.67221,-6.68711
0.590915,372.027,3.81818e-005,2.78933,1.43541,8.10803,-6.23474
0.590915,372.027,3.83471e-005,2.71448,1.49751,7.51381,-5.76022
0.590915,372.027,3.85124e-005,2.62892,1.55447,6.89163,-5.26518
0.590915,372.027,3.86777e-005,2.53298,1.60607,6.24369,-4.7513
0.590915,372.027,3.8843e-005,2.42705,1.65212,5.57229,-4.22037
0.590915,372.027,3.90083e-005,2.31154,1.69245,4.87979,-3.67422
0.590915,372.027,3.91736e-005,2.18691,1.7269,4.16867,-3.11473
0.590915,372.027,3.93388e-005,2.05364,1.75534,3.44147,-2.54385
0.590915,372.027,3.95041e-005,1.91227,1.77766,2.70078,-1.96357
0.590915,372.027,3.96694e-005,1.76336,1.79377,1.94926,-1.37592
0.590915,372.027,3.98347e-005,1.60748,1.8036,1.18962,-0.782932
0.590915,372.027,4e-005,1.44526,1.80711,0.424589,-0.186699
0.590915,372.027,4.01653e-005,1.27734,1.80428,-0.343077,0.410694
0.590915,372.027,4.03306e-005,1.10437,1.7951,-1.1106,1.00715
0.590915,372.027,4.04959e-005,0.927051,1.7796,-1.8752,1.60057
0.590915,372.027,4.06612e-005,0.74607,1.75783,-2.6341,2.18887
0.590915,372.027,4.08264e-005,0.562144,1.72986,-3.38456,2.76997
0.590915,372.027,4.09917e-005,0.376,1.69578,-4.12383,3.34183
0.590915,372.027,4.1157e-005,0.188372,1.6557,-4.84924,3.90241
0.590915,372.027,4.13223e-005,7.16598e-015,1.60977,-5.55812,4.44975
0.590915,372.027,4.14876e-005,-0.188372,1.55813,-6.2479,4.98191
0.590915,372.027,4.16529e-005,-0.376,1.50098,-6.91604,5.497
0.590915,372.027,4.18182e-005,-0.562144,1.4385,-7.56012,5.99319
0.590915,372.027,4.19835e-005,-0.74607,1.37091,-8.17775,6.46872
0.590915,372.027,4.21488e-005,-0.927051,1.29846,-8.76668,6.92192
0.590915,372.027,4.2314e-005,-1.10437,1.2214,-9.32475,7.35116
0.590915,372.027,4.24793e-005,-1.27734,1.13999,-9.84989,7.75493
0.590915,372.027,4.26446e-005,-1.44526,1.05454,-10.3402,8.13178
0.590915,372.027,4.28099e-005,-1.60748,0.96533,-10.7938,8.48039
0.590915,372.027,4.29752e-005,-1.76336,0.872693,-11.2091,8.79951
0.590915,372.027,4.31405e-005,-1.91227,0.776954,-11.5845,9.088
0.590915,372.027,4.33058e-005,-2.05364,0.678453,-11.9186,9.34484
0.590915,372.027,4.34711e-005,-2.18691,0.577542,-12.2102,9.56913
0.590915,372.027,4.36364e-005,-2.31154,0.474582,-12.4582,9.76005
0.590915,372.027,4.38017e-005,-2.42705,0.36994,-12.6617,9.91694
0.590915,372.027,4.39669e-005,-2.53298,0.263991,-12.8199,10.0392
0.590915,372.027,4.41322e-005,-2.62892,0.157113,-12.9321,10.1265
0.590915,372.027,4.42975e-005,-2.71448,0.0496912,-12.9981,10.1784
0.590915,372.027,4.44628e-005,-2.78933,-0.0578911,-13.0175,10.1949
0.590915,372.027,4.46281e-005,-2.85317,-0.165248,-12.9901,10.1757
0.590915,372.027,4.47934e-005,-2.90575,-0.271993,-12.9162,10.1211
0.590915,372.027,4.49587e-005,-2.94686,-0.377745,-12.796,10.0312
0.590915,372.027,4.5124e-005,-2.97634,-0.482124,-12.6298,9.90631
0.590915,372.027,4.52893e-005,-2.99408,-0.584754,-12.4183,9.74693
0.590915,372.027,4.54545e-005,-3,-0.685268,-12.1622,9.55362
0.590915,372.027,4.56198e-005,-2.99408,-0.783304,-11.8624,9.32709
0.590915,372.027,4.57851e-005,-2.97634,-0.878512,-11.5201,9.06815
0.590915,372.027,4.59504e-005,-2.94686,-0.970549,-11.1365,8.77773
0.590915,372.027,4.61157e-005,-2.90575,-1.05909,-10.7129,8.45689
0.590915,372.027,4.6281e-005,-2.85317,-1.1438,-10.251,8.10677
0.590915,372.027,4.64463e-005,-2.78933,-1.2244,-9.7523,7.72866
0.590915,372.027,4.66116e-005,-2.71448,-1.30059,-9.21874,7.3239
0.590915,372.027,4.67769e-005,-2.62892,-1.3721,-8.65223,6.89395
0.590915,372.027,4.69421e-005,-2.53298,-1.43866,-8.05484,6.44036
0.590915,372.027,4.71074e-005,-2.42705,-1.50006,-7.42875,5.96477
0.590915,372.027,4.72727e-005,-2.31154,-1.55606,-6.77625,5.46888
0.590915,372.027,4.7438e-005,-2.18691,-1.60647,-6.09973,4.95448
0.590915,372.027,4.76033e-005,-2.05364,-1.65111,-5.40165,4.42342
0.590915,372.027,4.77686e-005,-1.91227,-1.68983,-4.68458,3.8776
0.590915,372.027,4.79339e-005,-1.76336,-1.72248,-3.95112,3.31897
0.590915,372.027,4.80992e-005,-1.60748,-1.74896,-3.20397,2.74956
0.590915,372.027,4.82645e-005,-1.44526,-1.76918,-2.44586,2.17139
0.590915,372.027,4.84298e-005,-1.27734,-1.78306,-1.67955,1.58654
0.590915,372.027,4.8595e-005,-1.10437,-1.79056,-0.907853,0.997096
0.590915,372.027,4.87603e-005,-0.927051,-1.79166,-0.133587,0.405176
0.590915,372.027,4.89256e-005,-0.74607,-1.78637,0.640419,-0.18711
0.590915,372.027,4.90909e-005,-0.562144,-1.77471,1.41134,-0.777646
0.590915,372.027,4.92562e-005,-0.376,-1.75672,2.17635,-1.36433
0.590915,372.027,4.94215e-005,-0.188372,-1.73248,2.93268,-1.94506
0.590915,372.027,4.95868e-005,-2.20429e-015,-1.70209,3.67754,-2.51778
0.590915,372.027,4.97521e-005,0.188372,-1.66566,4.40824,-3.08046
0.590915,372.027,4.99174e-005,0.376,-1.62333,5.12212,-3.63109
0.590915,372.027,5.00826e-005,0.562144,-1.57526,5.81656,-4.16773
0.590915,372.027,5.02479e-005,0.74607,-1.52163,6.48905,-4.68847
0.590915,372.027,5.04132e-005,0.927051,-1.46264,7.13715,-5.19149
0.590915,372.027,5.05785e-005,1.10437,-1.39852,7.75851,-5.67501
0.590915,372.027,5.07438e-005,1.27734,-1.32951,8.35087,-6.13733
0.590915,372.027,5.09091e-005,1.44526,-1.25585,8.9121,-6.57684
0.590915,372.027,5.10744e-005,1.60748,-1.17784,9.44017,-6.992
0.590915,372.027,5.12397e-005,1.76336,-1.09574,9.93319,-7.38136
0.590915,372.027,5.1405e-005,1.91227,-1.00988,10.3894,-7.74359
0.590915,372.027,5.15702e-005,2.05364,-0.920567,10.8071,-8.07744
0.590915,372.027,5.17355e-005,2.18691,-0.828129,11.1849,-8.38176
0.590915,372.027,5.19008e-005,2.31154,-0.732911,11.5214,-8.65552
0.590915,372.027,5.20661e-005,2.42705,-0.635262,11.8155,-8.8978
0.590915,372.027,5.22314e-005,2.53298,-0.535543,12.066,-9.10781
0.590915,372.027,5.23967e-005,2.62892,-0.434119,12.2723,-9.28485
0.590915,372.027,5.2562e-005,2.71448,-0.331364,12.4334,-9.42836
0.590915,372.027,5.27273e-005,2.78933,-0.227652,12.549,-9.5379
0.590915,372.027,5.28926e-005,2.85317,-0.123365,12.6187,-9.61316
0.590915,372.027,5.30579e-005,2.90575,-0.0188838,12.6423,-9.65394
0.590915,372.027,5.32231e-005,2.94686,0.0854111,12.6197,-9.66018
0.590915,372.027,5.33884e-005,2.97634,0.189139,12.5511,-9.63194
0.590915,372.027,5.35537e-005,2.99408,0.291923,12.4369,-9.56942
0.590915,372.027,5.3719e-005,3,0.39339,12.2775,-9.47292
0.590915,372.027,5.38843e-005,2.99408,0.493172,12.0736,-9.34287
0.590915,372.027,5.40496e-005,2.97634,0.590908,11.826,-9.17984
0.590915,372.027,5.42149e-005,2.94686,0.686245,11.5358,-8.9845
0.590915,372.027,5.43802e-005,2.90575,0.77884,11.204,-8.75764
0.590915,372.027,5.45455e-005,2.85317,0.868361,10.832,-8.50017
0.590915,372.027,5.47107e-005,2.78933,0.954486,10.4211,-8.21311
0.590915,372.027,5.4876e-005,2.71448,1.03691,9.9731,-7.89758
